startingAirport,destinationAirport,flightDate,totalFare,segmentsDepartureTimeRaw,segmentsArrivalTimeRaw
ATL,BOS,2022-04-17,248.6,2022-04-17,2022-04-17
ATL,BOS,2022-04-18,248.6,2022-04-18,2022-04-18
ATL,BOS,2022-04-19,188.6,2022-04-19,2022-04-19
ATL,BOS,2022-04-20,196.1,2022-04-20,2022-04-20
ATL,BOS,2022-04-21,196.1,2022-04-21,2022-04-21
ATL,BOS,2022-04-22,240.1,2022-04-22,2022-04-22
ATL,BOS,2022-04-23,260.59,2022-04-23,2022-04-23
ATL,BOS,2022-04-24,478.6,2022-04-24,2022-04-24
ATL,BOS,2022-04-25,260.59,2022-04-25,2022-04-25
ATL,BOS,2022-04-26,152.6,2022-04-26,2022-04-26
ATL,BOS,2022-04-27,115.78,2022-04-27,2022-04-27
ATL,BOS,2022-04-28,66.97,2022-04-28,2022-04-28
ATL,BOS,2022-04-29,160.59,2022-04-29,2022-04-29
ATL,BOS,2022-04-30,148.6,2022-04-30,2022-04-30
ATL,BOS,2022-05-01,252.6,2022-05-01,2022-05-01
ATL,BOS,2022-05-02,142.2,2022-05-02,2022-05-02
ATL,BOS,2022-05-03,66.97,2022-05-03,2022-05-03
ATL,BOS,2022-05-04,66.97,2022-05-04,2022-05-04
ATL,BOS,2022-05-05,66.97,2022-05-05,2022-05-05
ATL,BOS,2022-05-06,89.97,2022-05-06,2022-05-06
ATL,BOS,2022-05-07,66.97,2022-05-07,2022-05-07
ATL,BOS,2022-05-08,160.59,2022-05-08,2022-05-08
ATL,BOS,2022-05-09,159.78,2022-05-09,2022-05-09
ATL,BOS,2022-05-10,65.88,2022-05-10,2022-05-10
ATL,BOS,2022-05-11,65.88,2022-05-11,2022-05-11
ATL,BOS,2022-05-12,66.97,2022-05-12,2022-05-12
ATL,BOS,2022-05-13,87.59,2022-05-13,2022-05-13
ATL,BOS,2022-05-14,87.59,2022-05-14,2022-05-14
ATL,BOS,2022-05-15,87.59,2022-05-15,2022-05-15
ATL,BOS,2022-05-16,87.59,2022-05-16,2022-05-16
ATL,BOS,2022-05-17,66.97,2022-05-17,2022-05-17
ATL,BOS,2022-05-18,66.97,2022-05-18,2022-05-18
ATL,BOS,2022-05-19,87.59,2022-05-19,2022-05-19
ATL,BOS,2022-05-20,87.59,2022-05-20,2022-05-20
ATL,BOS,2022-05-21,91.68,2022-05-21,2022-05-21
ATL,BOS,2022-05-22,130.59,2022-05-22,2022-05-22
ATL,BOS,2022-05-23,160.59,2022-05-23,2022-05-23
ATL,BOS,2022-05-24,66.97,2022-05-24,2022-05-24
ATL,BOS,2022-05-25,115.78,2022-05-25,2022-05-25
ATL,BOS,2022-05-26,114.78,2022-05-26,2022-05-26
ATL,BOS,2022-05-27,161.58,2022-05-27,2022-05-27
ATL,BOS,2022-05-28,138.58,2022-05-28,2022-05-28
ATL,BOS,2022-05-29,160.59,2022-05-29,2022-05-29
ATL,BOS,2022-05-30,220.59,2022-05-30,2022-05-30
ATL,BOS,2022-05-31,130.59,2022-05-31,2022-05-31
ATL,BOS,2022-06-01,87.59,2022-06-01,2022-06-01
ATL,BOS,2022-06-02,87.59,2022-06-02,2022-06-02
ATL,BOS,2022-06-03,130.59,2022-06-03,2022-06-03
ATL,CLT,2022-04-17,387.6,2022-04-17,2022-04-17
ATL,CLT,2022-04-18,387.6,2022-04-18,2022-04-18
ATL,CLT,2022-04-19,251.1,2022-04-19,2022-04-19
ATL,CLT,2022-04-20,284.6,2022-04-20,2022-04-20
ATL,CLT,2022-04-21,359.6,2022-04-21,2022-04-21
ATL,CLT,2022-04-22,345.7,2022-04-22,2022-04-22
ATL,CLT,2022-04-23,334.7,2022-04-23,2022-04-23
ATL,CLT,2022-04-24,337.6,2022-04-24,2022-04-24
ATL,CLT,2022-04-25,326.7,2022-04-25,2022-04-25
ATL,CLT,2022-04-26,227.1,2022-04-26,2022-04-26
ATL,CLT,2022-04-27,232.1,2022-04-27,2022-04-27
ATL,CLT,2022-04-28,264.7,2022-04-28,2022-04-28
ATL,CLT,2022-04-29,274.7,2022-04-29,2022-04-29
ATL,CLT,2022-04-30,310.09,2022-04-30,2022-04-30
ATL,CLT,2022-05-01,198.6,2022-05-01,2022-05-01
ATL,CLT,2022-05-02,98.6,2022-05-02,2022-05-02
ATL,CLT,2022-05-03,98.6,2022-05-03,2022-05-03
ATL,CLT,2022-05-04,98.6,2022-05-04,2022-05-04
ATL,CLT,2022-05-05,98.6,2022-05-05,2022-05-05
ATL,CLT,2022-05-06,198.6,2022-05-06,2022-05-06
ATL,CLT,2022-05-07,98.6,2022-05-07,2022-05-07
ATL,CLT,2022-05-08,148.6,2022-05-08,2022-05-08
ATL,CLT,2022-05-09,98.6,2022-05-09,2022-05-09
ATL,CLT,2022-05-10,98.6,2022-05-10,2022-05-10
ATL,CLT,2022-05-11,98.6,2022-05-11,2022-05-11
ATL,CLT,2022-05-12,98.6,2022-05-12,2022-05-12
ATL,CLT,2022-05-13,148.6,2022-05-13,2022-05-13
ATL,CLT,2022-05-14,98.6,2022-05-14,2022-05-14
ATL,CLT,2022-05-15,148.6,2022-05-15,2022-05-15
ATL,CLT,2022-05-16,98.6,2022-05-16,2022-05-16
ATL,CLT,2022-05-17,98.6,2022-05-17,2022-05-17
ATL,CLT,2022-05-18,98.6,2022-05-18,2022-05-18
ATL,CLT,2022-05-19,98.6,2022-05-19,2022-05-19
ATL,CLT,2022-05-20,148.6,2022-05-20,2022-05-20
ATL,CLT,2022-05-21,98.6,2022-05-21,2022-05-21
ATL,CLT,2022-05-22,148.6,2022-05-22,2022-05-22
ATL,CLT,2022-05-23,98.6,2022-05-23,2022-05-23
ATL,CLT,2022-05-24,98.6,2022-05-24,2022-05-24
ATL,CLT,2022-05-25,98.6,2022-05-25,2022-05-25
ATL,CLT,2022-05-26,148.6,2022-05-26,2022-05-26
ATL,CLT,2022-05-27,148.6,2022-05-27,2022-05-27
ATL,CLT,2022-05-28,148.6,2022-05-28,2022-05-28
ATL,CLT,2022-05-29,148.6,2022-05-29,2022-05-29
ATL,CLT,2022-05-30,148.6,2022-05-30,2022-05-30
ATL,CLT,2022-05-31,148.6,2022-05-31,2022-05-31
ATL,CLT,2022-06-01,148.6,2022-06-01,2022-06-01
ATL,CLT,2022-06-02,148.6,2022-06-02,2022-06-02
ATL,CLT,2022-06-03,148.6,2022-06-03,2022-06-03
ATL,DEN,2022-04-17,133.98,2022-04-17,2022-04-17
ATL,DEN,2022-04-18,234.58,2022-04-18,2022-04-18
ATL,DEN,2022-04-19,113.98,2022-04-19,2022-04-19
ATL,DEN,2022-04-20,117.96,2022-04-20,2022-04-20
ATL,DEN,2022-04-21,113.98,2022-04-21,2022-04-21
ATL,DEN,2022-04-22,148.6,2022-04-22,2022-04-22
ATL,DEN,2022-04-23,88.98,2022-04-23,2022-04-23
ATL,DEN,2022-04-24,208.61,2022-04-24,2022-04-24
ATL,DEN,2022-04-25,168.61,2022-04-25,2022-04-25
ATL,DEN,2022-04-26,116.1,2022-04-26,2022-04-26
ATL,DEN,2022-04-27,104.39,2022-04-27,2022-04-27
ATL,DEN,2022-04-28,98.99,2022-04-28,2022-04-28
ATL,DEN,2022-04-29,98.99,2022-04-29,2022-04-29
ATL,DEN,2022-04-30,88.98,2022-04-30,2022-04-30
ATL,DEN,2022-05-01,198.6,2022-05-01,2022-05-01
ATL,DEN,2022-05-02,184.58,2022-05-02,2022-05-02
ATL,DEN,2022-05-03,73.98,2022-05-03,2022-05-03
ATL,DEN,2022-05-04,84.37,2022-05-04,2022-05-04
ATL,DEN,2022-05-05,95.16,2022-05-05,2022-05-05
ATL,DEN,2022-05-06,95.16,2022-05-06,2022-05-06
ATL,DEN,2022-05-07,111.98,2022-05-07,2022-05-07
ATL,DEN,2022-05-08,240.6,2022-05-08,2022-05-08
ATL,DEN,2022-05-09,125.78,2022-05-09,2022-05-09
ATL,DEN,2022-05-10,77.78,2022-05-10,2022-05-10
ATL,DEN,2022-05-11,77.78,2022-05-11,2022-05-11
ATL,DEN,2022-05-12,98.99,2022-05-12,2022-05-12
ATL,DEN,2022-05-13,98.99,2022-05-13,2022-05-13
ATL,DEN,2022-05-14,77.78,2022-05-14,2022-05-14
ATL,DEN,2022-05-15,214.78,2022-05-15,2022-05-15
ATL,DEN,2022-05-16,95.16,2022-05-16,2022-05-16
ATL,DEN,2022-05-17,58.99,2022-05-17,2022-05-17
ATL,DEN,2022-05-18,77.78,2022-05-18,2022-05-18
ATL,DEN,2022-05-19,98.99,2022-05-19,2022-05-19
ATL,DEN,2022-05-20,108.99,2022-05-20,2022-05-20
ATL,DEN,2022-05-21,77.78,2022-05-21,2022-05-21
ATL,DEN,2022-05-22,253.98,2022-05-22,2022-05-22
ATL,DEN,2022-05-23,111.98,2022-05-23,2022-05-23
ATL,DEN,2022-05-24,71.06,2022-05-24,2022-05-24
ATL,DEN,2022-05-25,111.78,2022-05-25,2022-05-25
ATL,DEN,2022-05-26,123.98,2022-05-26,2022-05-26
ATL,DEN,2022-05-27,143.99,2022-05-27,2022-05-27
ATL,DEN,2022-05-28,123.98,2022-05-28,2022-05-28
ATL,DEN,2022-05-29,237.58,2022-05-29,2022-05-29
ATL,DEN,2022-05-30,237.58,2022-05-30,2022-05-30
ATL,DEN,2022-05-31,156.58,2022-05-31,2022-05-31
ATL,DEN,2022-06-01,111.78,2022-06-01,2022-06-01
ATL,DEN,2022-06-02,123.98,2022-06-02,2022-06-02
ATL,DEN,2022-06-03,118.98,2022-06-03,2022-06-03
ATL,DFW,2022-04-17,168.59,2022-04-17,2022-04-17
ATL,DFW,2022-04-18,168.59,2022-04-18,2022-04-18
ATL,DFW,2022-04-19,93.99,2022-04-19,2022-04-19
ATL,DFW,2022-04-20,118.59,2022-04-20,2022-04-20
ATL,DFW,2022-04-21,108.99,2022-04-21,2022-04-21
ATL,DFW,2022-04-22,118.59,2022-04-22,2022-04-22
ATL,DFW,2022-04-23,88.59,2022-04-23,2022-04-23
ATL,DFW,2022-04-24,148.6,2022-04-24,2022-04-24
ATL,DFW,2022-04-25,148.6,2022-04-25,2022-04-25
ATL,DFW,2022-04-26,47.98,2022-04-26,2022-04-26
ATL,DFW,2022-04-27,42.79,2022-04-27,2022-04-27
ATL,DFW,2022-04-28,104.39,2022-04-28,2022-04-28
ATL,DFW,2022-04-29,96.99,2022-04-29,2022-04-29
ATL,DFW,2022-04-30,63.99,2022-04-30,2022-04-30
ATL,DFW,2022-05-01,168.59,2022-05-01,2022-05-01
ATL,DFW,2022-05-02,96.99,2022-05-02,2022-05-02
ATL,DFW,2022-05-03,42.79,2022-05-03,2022-05-03
ATL,DFW,2022-05-04,42.79,2022-05-04,2022-05-04
ATL,DFW,2022-05-05,74.37,2022-05-05,2022-05-05
ATL,DFW,2022-05-06,68.98,2022-05-06,2022-05-06
ATL,DFW,2022-05-07,63.99,2022-05-07,2022-05-07
ATL,DFW,2022-05-08,139.58,2022-05-08,2022-05-08
ATL,DFW,2022-05-09,71.68,2022-05-09,2022-05-09
ATL,DFW,2022-05-10,42.79,2022-05-10,2022-05-10
ATL,DFW,2022-05-11,42.79,2022-05-11,2022-05-11
ATL,DFW,2022-05-12,68.59,2022-05-12,2022-05-12
ATL,DFW,2022-05-13,68.59,2022-05-13,2022-05-13
ATL,DFW,2022-05-14,63.99,2022-05-14,2022-05-14
ATL,DFW,2022-05-15,139.58,2022-05-15,2022-05-15
ATL,DFW,2022-05-16,65.88,2022-05-16,2022-05-16
ATL,DFW,2022-05-17,42.79,2022-05-17,2022-05-17
ATL,DFW,2022-05-18,42.79,2022-05-18,2022-05-18
ATL,DFW,2022-05-19,68.59,2022-05-19,2022-05-19
ATL,DFW,2022-05-20,68.98,2022-05-20,2022-05-20
ATL,DFW,2022-05-21,63.99,2022-05-21,2022-05-21
ATL,DFW,2022-05-22,88.59,2022-05-22,2022-05-22
ATL,DFW,2022-05-23,68.59,2022-05-23,2022-05-23
ATL,DFW,2022-05-24,42.79,2022-05-24,2022-05-24
ATL,DFW,2022-05-25,69.98,2022-05-25,2022-05-25
ATL,DFW,2022-05-26,88.59,2022-05-26,2022-05-26
ATL,DFW,2022-05-27,108.99,2022-05-27,2022-05-27
ATL,DFW,2022-05-28,96.99,2022-05-28,2022-05-28
ATL,DFW,2022-05-29,118.59,2022-05-29,2022-05-29
ATL,DFW,2022-05-30,72.98,2022-05-30,2022-05-30
ATL,DFW,2022-05-31,139.58,2022-05-31,2022-05-31
ATL,DFW,2022-06-01,72.98,2022-06-01,2022-06-01
ATL,DFW,2022-06-02,88.59,2022-06-02,2022-06-02
ATL,DFW,2022-06-03,108.99,2022-06-03,2022-06-03
ATL,DTW,2022-04-17,165.59,2022-04-17,2022-04-17
ATL,DTW,2022-04-18,195.59,2022-04-18,2022-04-18
ATL,DTW,2022-04-19,135.59,2022-04-19,2022-04-19
ATL,DTW,2022-04-20,135.59,2022-04-20,2022-04-20
ATL,DTW,2022-04-21,135.59,2022-04-21,2022-04-21
ATL,DTW,2022-04-22,135.59,2022-04-22,2022-04-22
ATL,DTW,2022-04-23,105.59,2022-04-23,2022-04-23
ATL,DTW,2022-04-24,165.59,2022-04-24,2022-04-24
ATL,DTW,2022-04-25,135.59,2022-04-25,2022-04-25
ATL,DTW,2022-04-26,98.0,2022-04-26,2022-04-26
ATL,DTW,2022-04-27,98.0,2022-04-27,2022-04-27
ATL,DTW,2022-04-28,73.98,2022-04-28,2022-04-28
ATL,DTW,2022-04-29,165.59,2022-04-29,2022-04-29
ATL,DTW,2022-04-30,135.59,2022-04-30,2022-04-30
ATL,DTW,2022-05-01,135.59,2022-05-01,2022-05-01
ATL,DTW,2022-05-02,135.59,2022-05-02,2022-05-02
ATL,DTW,2022-05-03,63.99,2022-05-03,2022-05-03
ATL,DTW,2022-05-04,85.59,2022-05-04,2022-05-04
ATL,DTW,2022-05-05,85.59,2022-05-05,2022-05-05
ATL,DTW,2022-05-06,69.98,2022-05-06,2022-05-06
ATL,DTW,2022-05-07,85.59,2022-05-07,2022-05-07
ATL,DTW,2022-05-08,165.59,2022-05-08,2022-05-08
ATL,DTW,2022-05-09,65.88,2022-05-09,2022-05-09
ATL,DTW,2022-05-10,65.59,2022-05-10,2022-05-10
ATL,DTW,2022-05-11,65.59,2022-05-11,2022-05-11
ATL,DTW,2022-05-12,65.59,2022-05-12,2022-05-12
ATL,DTW,2022-05-13,65.59,2022-05-13,2022-05-13
ATL,DTW,2022-05-14,65.59,2022-05-14,2022-05-14
ATL,DTW,2022-05-15,85.59,2022-05-15,2022-05-15
ATL,DTW,2022-05-16,65.59,2022-05-16,2022-05-16
ATL,DTW,2022-05-17,65.59,2022-05-17,2022-05-17
ATL,DTW,2022-05-18,65.59,2022-05-18,2022-05-18
ATL,DTW,2022-05-19,65.59,2022-05-19,2022-05-19
ATL,DTW,2022-05-20,65.59,2022-05-20,2022-05-20
ATL,DTW,2022-05-21,65.59,2022-05-21,2022-05-21
ATL,DTW,2022-05-22,111.98,2022-05-22,2022-05-22
ATL,DTW,2022-05-23,105.59,2022-05-23,2022-05-23
ATL,DTW,2022-05-24,65.59,2022-05-24,2022-05-24
ATL,DTW,2022-05-25,65.59,2022-05-25,2022-05-25
ATL,DTW,2022-05-26,69.98,2022-05-26,2022-05-26
ATL,DTW,2022-05-27,135.59,2022-05-27,2022-05-27
ATL,DTW,2022-05-28,85.59,2022-05-28,2022-05-28
ATL,DTW,2022-05-29,105.59,2022-05-29,2022-05-29
ATL,DTW,2022-05-30,195.59,2022-05-30,2022-05-30
ATL,DTW,2022-05-31,105.59,2022-05-31,2022-05-31
ATL,DTW,2022-06-01,65.59,2022-06-01,2022-06-01
ATL,DTW,2022-06-02,65.59,2022-06-02,2022-06-02
ATL,DTW,2022-06-03,85.59,2022-06-03,2022-06-03
ATL,EWR,2022-04-17,157.59,2022-04-17,2022-04-17
ATL,EWR,2022-04-18,107.59,2022-04-18,2022-04-18
ATL,EWR,2022-04-19,131.11,2022-04-19,2022-04-19
ATL,EWR,2022-04-20,132.61,2022-04-20,2022-04-20
ATL,EWR,2022-04-21,170.59,2022-04-21,2022-04-21
ATL,EWR,2022-04-22,170.59,2022-04-22,2022-04-22
ATL,EWR,2022-04-23,280.59,2022-04-23,2022-04-23
ATL,EWR,2022-04-24,368.74,2022-04-24,2022-04-24
ATL,EWR,2022-04-25,298.6,2022-04-25,2022-04-25
ATL,EWR,2022-04-26,140.59,2022-04-26,2022-04-26
ATL,EWR,2022-04-27,103.6,2022-04-27,2022-04-27
ATL,EWR,2022-04-28,103.6,2022-04-28,2022-04-28
ATL,EWR,2022-04-29,103.6,2022-04-29,2022-04-29
ATL,EWR,2022-04-30,82.59,2022-04-30,2022-04-30
ATL,EWR,2022-05-01,137.6,2022-05-01,2022-05-01
ATL,EWR,2022-05-02,88.6,2022-05-02,2022-05-02
ATL,EWR,2022-05-03,82.59,2022-05-03,2022-05-03
ATL,EWR,2022-05-04,30.69,2022-05-04,2022-05-04
ATL,EWR,2022-05-05,61.97,2022-05-05,2022-05-05
ATL,EWR,2022-05-06,88.6,2022-05-06,2022-05-06
ATL,EWR,2022-05-07,97.6,2022-05-07,2022-05-07
ATL,EWR,2022-05-08,162.6,2022-05-08,2022-05-08
ATL,EWR,2022-05-09,137.6,2022-05-09,2022-05-09
ATL,EWR,2022-05-10,30.69,2022-05-10,2022-05-10
ATL,EWR,2022-05-11,30.69,2022-05-11,2022-05-11
ATL,EWR,2022-05-12,61.97,2022-05-12,2022-05-12
ATL,EWR,2022-05-13,74.78,2022-05-13,2022-05-13
ATL,EWR,2022-05-14,90.16,2022-05-14,2022-05-14
ATL,EWR,2022-05-15,82.59,2022-05-15,2022-05-15
ATL,EWR,2022-05-16,42.79,2022-05-16,2022-05-16
ATL,EWR,2022-05-17,61.97,2022-05-17,2022-05-17
ATL,EWR,2022-05-18,30.69,2022-05-18,2022-05-18
ATL,EWR,2022-05-19,42.79,2022-05-19,2022-05-19
ATL,EWR,2022-05-20,61.97,2022-05-20,2022-05-20
ATL,EWR,2022-05-21,42.79,2022-05-21,2022-05-21
ATL,EWR,2022-05-22,112.59,2022-05-22,2022-05-22
ATL,EWR,2022-05-23,112.59,2022-05-23,2022-05-23
ATL,EWR,2022-05-24,30.69,2022-05-24,2022-05-24
ATL,EWR,2022-05-25,42.79,2022-05-25,2022-05-25
ATL,EWR,2022-05-26,90.68,2022-05-26,2022-05-26
ATL,EWR,2022-05-27,133.58,2022-05-27,2022-05-27
ATL,EWR,2022-05-28,92.78,2022-05-28,2022-05-28
ATL,EWR,2022-05-29,170.59,2022-05-29,2022-05-29
ATL,EWR,2022-05-30,221.58,2022-05-30,2022-05-30
